date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:50	46853/46853	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/index.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/index.html	(from )
10:16:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2003:16:52%20GMT	https://html.commonsupport.xyz/robots.txt		(from )
10:16:55	15375/15375	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/css/responsive.css	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/css/responsive.css	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:16:58	83384/83384	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/css/style.css	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/css/style.css	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:10	3320/3320	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/logo.png	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/logo.png	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:12	27075/27075	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/room-grid.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/room-grid.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:15	30599/30599	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/room-list.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/room-list.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:15	30531/30531	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/room-details.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/room-details.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:15	29320/29320	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/about.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/about.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:16	22577/22577	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/gallery.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/gallery.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:16	21277/21277	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/our-place.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/our-place.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:16	21652/21652	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/place-details.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/place-details.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:17	24162/24162	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/service.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/service.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:17	26219/26219	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/resturent.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/resturent.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:17	18517/18517	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/spa.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/spa.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:18	19067/19067	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/testimonial.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/testimonial.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:18	16692/16692	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/offer.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/offer.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:18	24966/24966	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/staff.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/staff.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:19	15337/15337	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/error.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/error.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:19	29409/29409	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/our-blog.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/our-blog.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:19	25055/25055	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/blog-details.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/blog-details.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:20	18600/18600	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/contact.html	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/contact.html	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:20	3356/3356	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/small-logo.png	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/small-logo.png	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:22	328488/328488	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/main-slider/1.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/main-slider/1.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:23	223863/223863	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/main-slider/3.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/main-slider/3.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:24	95151/95151	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/resource/3.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/resource/3.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:25	246089/246089	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/main-slider/4.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/main-slider/4.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:25	19638/19638	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/resource/2.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/resource/2.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:25	64521/64521	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/resource/1.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/resource/1.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:26	32364/32364	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/resource/5.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/resource/5.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
10:17:26	58322/58322	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202020%2019:08:57%20GMT	https://html.commonsupport.xyz/2018/Panola/images/resource/6.jpg	C:/giao_dien_asm/giao_dien_asm/html.commonsupport.xyz/2018/Panola/images/resource/6.jpg	(from https://html.commonsupport.xyz/2018/Panola/index.html)
